id,Fecha,ERA - Obrero,La Flora,Pance,Univalle,Base Aerea,Compartir,La Ermita,Cañav eralejo,Transitoria
92,02 4 10,19,ND,ND,ND,ND,ND,ND,ND,ND
93,03 4 10,19,ND,ND,ND,ND,ND,ND,ND,ND
94,04 4 10,20,ND,ND,ND,ND,ND,ND,ND,ND
95,05 4 10,23,ND,ND,ND,ND,ND,ND,ND,ND
96,06 4 10,28,ND,ND,ND,ND,ND,ND,ND,ND
97,07 4 10,28,ND,ND,ND,ND,ND,ND,ND,ND
98,08 4 10,25,ND,ND,ND,ND,ND,ND,ND,ND
99,09 4 10,40,ND,ND,ND,ND,ND,ND,ND,ND
100,10 4 10,46,ND,ND,ND,ND,ND,ND,ND,ND
101,11 4 10,46,ND,ND,ND,ND,ND,ND,ND,ND
102,12 4 10,35,ND,ND,ND,ND,ND,ND,ND,ND
103,13 4 10,34,ND,ND,ND,ND,ND,ND,ND,ND
104,14 4 10,33,ND,ND,ND,ND,ND,ND,ND,ND
105,15 4 10,31,ND,ND,ND,ND,ND,ND,ND,ND
106,16 4 10,46,ND,ND,ND,ND,ND,ND,ND,ND
107,17 4 10,41,ND,ND,ND,ND,ND,ND,ND,ND
108,18 4 10,40,ND,ND,ND,ND,ND,ND,ND,ND
109,19 4 10,42,ND,ND,ND,ND,ND,ND,ND,ND
110,20 4 10,47,ND,ND,ND,ND,ND,ND,ND,ND
111,21 4 10,41,ND,ND,ND,ND,ND,ND,ND,ND
112,22 4 10,43,ND,ND,ND,ND,ND,ND,ND,ND
113,23 4 10,44,ND,ND,ND,ND,ND,ND,ND,ND
114,24 4 10,42,ND,ND,ND,ND,ND,ND,ND,ND
115,25 4 10,40,ND,ND,ND,ND,ND,ND,ND,ND
116,26 4 10,29,ND,ND,ND,ND,ND,ND,ND,ND
117,27 4 10,22,ND,ND,ND,ND,ND,ND,ND,ND
118,28 4 10,22,ND,ND,ND,ND,ND,ND,ND,ND
119,29 4 10,21,ND,ND,ND,ND,ND,ND,ND,ND
120,30 4 10,47,ND,ND,ND,ND,ND,ND,ND,ND
121,01 5 10,40,ND,ND,ND,ND,ND,ND,ND,ND
